domain_group,token,n,tf,idf,tf_idf
high,"1,826,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,830,985,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,834,600",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,861",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,901,400",4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,"1,953,153",1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1.0,18,8.342050003174614e-6,0.6931471805599453,5.782268439790566e-6
high,1.00,36,1.668410000634923e-5,0.6931471805599453,1.1564536879581133e-5
high,1.002,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,1.01,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,1.017,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1.02,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,1.03,80,3.707577779188717e-5,0,0
high,1.04,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,1.05,7,3.2441305567901275e-6,0.6931471805599453,2.2486599488074424e-6
high,1.07,10,4.634472223985896e-6,0,0
high,1.08,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,1.09,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,1.09.1,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,1.09.2,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,1.1,87,4.03199083486773e-5,0,0
high,1.10,15,6.951708335978845e-6,0.6931471805599453,4.818557033158805e-6
high,1.11,17,7.878602780776024e-6,0.6931471805599453,5.461031304246646e-6
high,1.12,15,6.951708335978845e-6,0.6931471805599453,4.818557033158805e-6
high,1.13,11,5.097919446384486e-6,0.6931471805599453,3.533608490983124e-6
high,1.14,15,6.951708335978845e-6,0.6931471805599453,4.818557033158805e-6
high,1.16,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1.2,39,1.8074441673544997e-5,0,0
high,1.20,59,2.7343386121516788e-5,0,0
high,1.21,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,1.25,100,4.6344722239858965e-5,0,0
high,1.275,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,1.3,13,6.024813891181666e-6,0,0
high,1.30,18,8.342050003174614e-6,0.6931471805599453,5.782268439790566e-6
high,1.31,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,1.35,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,1.3g,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1.4,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,1.40,22,1.0195838892768973e-5,0.6931471805599453,7.067216981966248e-6
high,1.4g,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1.5,128,5.9321244467019473e-5,0,0
high,1.50,41,1.9001336118342174e-5,0.6931471805599453,1.3170722557300733e-5
high,1.52,10,4.634472223985896e-6,0,0
high,1.54,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1.6,47,2.1782019452733714e-5,0,0
high,1.60,19,8.805497225573203e-6,0.6931471805599453,6.103505575334486e-6
high,1.7,13,6.024813891181666e-6,0.6931471805599453,4.176082762070965e-6
high,1.70,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1.75,33,1.5293758339153457e-5,0.6931471805599453,1.060082547294937e-5
high,1.76,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,1.8,5,2.317236111992948e-6,0,0
high,1.89,30,1.390341667195769e-5,0.6931471805599453,9.63711406631761e-6
high,1.9,21,9.732391670370383e-6,0.6931471805599453,6.7459798464223275e-6
high,1.93,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,"10,000",68,3.15144111231041e-5,0,0
high,"10,000,000",64,2.9660622233509737e-5,0,0
high,"10,000.00",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"10,001",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"10,11",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"10,147,863,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"10,254,686,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"10,500,000",4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,"10,870,652,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"10,942,833,000",4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,10.00,31,1.4366863894356278e-5,0.6931471805599453,9.95835120186153e-6
high,10.020,21,9.732391670370383e-6,0.6931471805599453,6.7459798464223275e-6
high,10.03,8,3.707577779188717e-6,0,0
high,10.0effective,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,10.1,13,6.024813891181666e-6,0.6931471805599453,4.176082762070965e-6
high,10.10,12,5.561366668783076e-6,0.6931471805599453,3.854845626527044e-6
