bill_id,topic,gamma,topic_label,is_artifact
1423728,9,0.5254942631284857,Advisory Bodies & Task Forces,FALSE
1423747,16,0.3334538361376496,Insurance & Medicaid Coverage,FALSE
1423772,19,0.3631736490990752,Criminal Justice,FALSE
1423878,10,0.46820251257876505,Workforce Licensing,FALSE
1423963,18,0.5907132957566892,Education & Community,FALSE
1423991,18,0.9945368482832389,Education & Community,FALSE
1424146,18,0.908985623544846,Education & Community,FALSE
1424263,16,0.4698367113953541,Insurance & Medicaid Coverage,FALSE
1424621,12,0.30212563442365464,Budget & Fiscal Provisions,FALSE
1424628,12,0.5551541765086299,Budget & Fiscal Provisions,FALSE
1424641,18,0.9980466671972684,Education & Community,FALSE
1424664,13,7.624946411326303e-4,Licensing & Privacy Records,FALSE
1424775,18,4.035533891736044e-4,Education & Community,FALSE
1424933,9,0.6508794073018442,Advisory Bodies & Task Forces,FALSE
1425005,19,0.2535965898855734,Criminal Justice,FALSE
1425597,8,7.390188698021886e-4,Healthcare Facilities & Licensing,FALSE
1426386,1,0.90086338679666,Involuntary & Inpatient Treatment,FALSE
1426748,10,0.6452114662419849,Workforce Licensing,FALSE
1426813,16,0.38169086189753576,Insurance & Medicaid Coverage,FALSE
1426830,18,0.42758723262344145,Education & Community,FALSE
1426863,10,0.4386775977270963,Workforce Licensing,FALSE
1427075,10,0.5530457825861798,Workforce Licensing,FALSE
1427082,13,5.396435786977409e-4,Licensing & Privacy Records,FALSE
1427122,19,0.1845863977966779,Criminal Justice,FALSE
1427156,16,0.10103424039106725,Insurance & Medicaid Coverage,FALSE
1427523,4,0.43933674941639766,General Regulatory Procedures,FALSE
1427702,2,0.294413175436603,Drug Crime & Penalties,FALSE
1427817,16,7.169454714639538e-4,Insurance & Medicaid Coverage,FALSE
1427918,16,0.28320643160300757,Insurance & Medicaid Coverage,FALSE
1427959,8,0.20524789664991475,Healthcare Facilities & Licensing,FALSE
1428008,1,3.5051634311355367e-4,Involuntary & Inpatient Treatment,FALSE
1428141,18,4.755021933467577e-4,Education & Community,FALSE
1428148,1,0.5512085742580582,Involuntary & Inpatient Treatment,FALSE
1428801,4,0.6366246188746008,General Regulatory Procedures,FALSE
1429582,9,0.11896680474119008,Advisory Bodies & Task Forces,FALSE
1429762,10,0.31603417486708935,Workforce Licensing,FALSE
1429765,18,3.058532390191899e-4,Education & Community,FALSE
1429806,19,0.8890125802627172,Criminal Justice,FALSE
1429939,10,2.540576386812557e-4,Workforce Licensing,FALSE
1430015,19,0.18621445288355307,Criminal Justice,FALSE
1430294,9,0.7174782475831539,Advisory Bodies & Task Forces,FALSE
1430483,1,0.99949183910442,Involuntary & Inpatient Treatment,FALSE
1430560,11,1.649943066293586e-4,Policy Equity & Conditions,FALSE
1430636,1,2.3653298076757663e-4,Involuntary & Inpatient Treatment,FALSE
1430702,9,0.3836002090957971,Advisory Bodies & Task Forces,FALSE
1430722,18,4.851121679457346e-4,Education & Community,FALSE
1430758,18,0.6888510653196434,Education & Community,FALSE
1430802,10,0.6969993168068953,Workforce Licensing,FALSE
1430920,19,0.2028285426708413,Criminal Justice,FALSE
1430931,4,0.4276734582113412,General Regulatory Procedures,FALSE
1430969,18,0.38330587985960113,Education & Community,FALSE
1431089,9,0.33273901452896676,Advisory Bodies & Task Forces,FALSE
1431101,12,0.7134674950071132,Budget & Fiscal Provisions,FALSE
1431352,16,3.2227928419541397e-4,Insurance & Medicaid Coverage,FALSE
1431396,18,6.765314858775681e-4,Education & Community,FALSE
1431475,4,7.390188698021846e-4,General Regulatory Procedures,FALSE
1431927,18,6.96152430145752e-4,Education & Community,FALSE
1432238,19,0.6026332231184781,Criminal Justice,FALSE
1432255,3,0.2776037139300482,Maternal & Prenatal Health,FALSE
1432266,19,0.23997543476989025,Criminal Justice,FALSE
1432286,9,0.4516421545922566,Advisory Bodies & Task Forces,FALSE
1432289,9,0.5898740280274487,Advisory Bodies & Task Forces,FALSE
1432369,1,0.1467317387437816,Involuntary & Inpatient Treatment,FALSE
1432407,10,4.5738094409660776e-4,Workforce Licensing,FALSE
1432414,2,6.765314858775649e-4,Drug Crime & Penalties,FALSE
1432554,18,0.1915699846251837,Education & Community,FALSE
1432565,18,0.9974157745914716,Education & Community,FALSE
1432818,18,0.5423210888079741,Education & Community,FALSE
